Index Saldo,,Index Saldo Prom,,Index deuda sistea,,Index Pasivo,,Index Venta
1.66E-01,,1.66E-01,,1.08771601,,12.45227235,,-1.18E+00
-7.63E-01,,-7.63E-01,,1.42165679,,2.21426197,,-2.24E-02
8.39E-01,,8.39E-01,,-1.20745756,,-3.40747878,,1.29E+00
1.79E-01,,1.79E-01,,-0.72145214,,2.35550321,,8.41E-01
-1.91E+00,,-1.91E+00,,0.29701397,,6.50104799,,-2.98E-02
-4.27E+00,,-4.27E+00,,-0.44131366,,0.15776377,,-6.80E-01
1.00E+00,,1.10E+00,,-1.79598112,,-3.09198368,,-4.84E-01
6.20E+00,,6.20E+00,,0.27463224,,1.43236612,,1.41E+00
-2.87E+00,,-2.87E+00,,5.08739704,,0,,-1.23E+00
1.22E+00,,1.22E+00,,0.02607688,,2.32172791,,9.04E-01
5.02E+00,,5.02E+00,,0.30088309,,1.08865701,,1.46E+00
-1.70E-02,,-1.33E-01,,-0.94595259,,3.77546195,,-7.86E-01
6.70E-01,,6.70E-01,,-2.89771315,,-1.92922804,,-1.56E-01
1.29E+00,,1.29E+00,,-1.36086112,,-4.00123376,,0.00E+00
1.96E+00,,1.97E+00,,0.22512805,,-0.53935003,,1.89E+00
-1.09E-01,,-9.93E-02,,1.58498683,,-2.86892119,,-5.62E-01
1.30E+00,,1.30E+00,,0.5128592,,-2.09952821,,7.69E-01
2.13E+00,,2.13E+00,,0.34418435,,0,,4.68E-01
